Date,Time,Home Id,Away Id
20120818,1800,448,449
20120818,1800,1853,240
20120818,1800,244,462
20120818,2000,453,452
20120818,2200,450,573
20120819,1200,480,110832
20120819,1600,242,479
20120819,1800,241,457
20120819,1945,481,1860
20120819,2130,243,461
20120825,1800,449,480
20120825,1800,573,453
20120825,1800,452,244
20120825,2000,462,1853
20120825,2200,240,448
20120826,1200,457,450
20120826,1600,110832,481
20120826,1800,1860,243
20120826,1945,479,241
20120826,2130,461,242
20120901,1800,449,240
20120901,1800,448,462
20120901,1800,1853,452
20120901,2000,244,573
20120901,2200,243,110832
20120902,1200,450,479
20120902,1600,480,481
20120902,1800,242,1860
20120902,1945,453,457
20120902,2130,241,461
20120915,1800,240,480
20120915,1800,462,449
20120915,1800,452,448
20120915,2000,573,1853
20120915,2200,1860,241
20120916,1200,479,453
20120916,1600,461,450
20120916,1800,457,244
20120916,1945,110832,242
20120916,2130,481,243
20120922,1800,449,452
20120922,1800,448,573
20120922,1800,1853,457
20120922,2000,240,462
20120922,2200,242,481
20120923,1200,480,243
20120923,1600,450,1860
20120923,1800,241,110832
20120923,1945,244,479
20120923,2130,453,461
20120929,1800,462,480
20120929,1800,452,240
20120929,1800,573,449
20120929,2000,479,1853
20120929,2200,481,241
20120930,1200,1860,453
20120930,1600,461,244
20120930,1800,110832,450
20120930,1945,457,448
20120930,2130,243,242
20121006,1800,240,573
20121006,1800,449,457
20121006,1800,448,479
20121006,2000,462,452
20121006,2200,1853,461
20121007,1200,244,1860
20121007,1600,453,110832
20121007,1800,450,481
20121007,1945,480,242
20121007,2130,241,243
20121020,1800,452,480
20121020,1800,573,462
20121020,1800,457,240
20121020,2000,479,449
20121020,2200,461,448
20121021,1200,1860,1853
20121021,1600,110832,244
20121021,1800,242,241
20121021,1945,481,453
20121021,2130,243,450
20121027,1800,452,573
20121027,1800,462,457
20121027,1800,453,243
20121027,2000,240,479
20121027,2200,449,461
20121028,1200,1853,110832
20121028,1600,244,481
20121028,1800,448,1860
20121028,1945,480,241
20121028,2130,450,242
20121103,1800,573,480
20121103,1800,457,452
20121103,1800,1860,449
20121103,2000,479,462
20121103,2200,461,240
20121104,1200,110832,448
20121104,1600,481,1853
20121104,1800,243,244
20121104,1945,242,453
20121104,2130,241,450
20121110,1800,573,457
20121110,1800,452,479
20121110,1800,462,461
20121110,2000,240,1860
20121110,2200,453,241
20121111,1200,480,450
20121111,1600,244,242
20121111,1800,1853,243
20121111,1945,449,110832
20121111,2130,448,481
20121117,1800,457,480
20121117,1800,479,573
20121117,1800,461,452
20121117,2000,1860,462
20121117,2200,481,449
20121118,1200,110832,240
20121118,1600,450,453
20121118,1800,242,1853
20121118,1945,241,244
20121118,2130,243,448
20121124,1800,457,479
20121124,1800,573,461
20121124,1800,1853,241
20121124,2000,462,110832
20121124,2200,240,481
20121125,1200,480,453
20121125,1600,448,242
20121125,1800,452,1860
20121125,1945,449,243
20121125,2130,244,450
20121201,1800,479,480
20121201,1800,461,457
20121201,1800,481,462
20121201,2000,110832,452
20121201,2200,1860,573
20121202,1200,453,244
20121202,1600,242,449
20121202,1800,450,1853
20121202,1945,243,240
20121202,2130,241,448
20121208,1800,452,481
20121208,1800,457,1860
20121208,1800,573,110832
20121208,2000,479,461
20121208,2200,462,243
20121209,1200,1853,453
20121209,1600,480,244
20121209,1800,240,242
20121209,1945,448,450
20121209,2130,449,241
20121215,1800,461,480
20121215,1800,1860,479
20121215,1800,110832,457
20121215,2000,481,573
20121215,2200,243,452
20121216,1200,242,462
20121216,1600,244,1853
20121216,1800,450,449
20121216,1945,453,448
20121216,2130,241,240
20121221,1800,461,1860
20121221,1800,479,110832
20121221,1800,457,481
20121221,2000,573,243
20121221,2200,452,242
20121222,1200,448,244
20121222,1600,480,1853
20121222,1800,449,453
20121222,1945,462,241
20121222,2130,240,450
20130105,1800,110832,461
20130105,1800,481,479
20130105,1800,242,573
20130105,2000,480,1860
20130105,2200,243,457
20130106,1200,1853,448
20130106,1600,450,462
20130106,1800,453,240
20130106,1945,244,449
20130106,2130,241,452
20130112,1800,1860,110832
20130112,1800,240,244
20130112,1800,457,242
20130112,2000,479,243
20130112,2200,573,241
20130113,1200,452,450
20130113,1600,462,453
20130113,1800,448,480
20130113,1945,449,1853
20130113,2130,461,481
20130119,1800,449,448
20130119,1800,240,1853
20130119,1800,462,244
20130119,2000,452,453
20130119,2200,457,241
20130120,1200,479,242
20130120,1600,573,450
20130120,1800,110832,480
20130120,1945,1860,481
20130120,2130,461,243
20130126,1800,480,449
20130126,1800,453,573
20130126,1800,1853,462
20130126,2000,244,452
20130126,2200,448,240
20130127,1200,450,457
20130127,1600,481,110832
20130127,1800,241,479
20130127,1945,243,1860
20130127,2130,242,461
20130202,1800,457,453
20130202,1800,110832,243
20130202,1800,573,244
20130202,2000,462,448
20130202,2200,240,449
20130203,1200,479,450
20130203,1600,1860,242
20130203,1800,481,480
20130203,1945,452,1853
20130203,2130,461,241
20130209,1800,480,240
20130209,1800,449,462
20130209,1800,448,452
20130209,2000,1853,573
20130209,2200,244,457
20130210,1200,453,479
20130210,1600,450,461
20130210,1800,241,1860
20130210,1945,242,110832
20130210,2130,243,481
20130216,1800,462,240
20130216,1800,452,449
20130216,1800,110832,241
20130216,2000,457,1853
20130216,2200,479,244
20130217,1200,461,453
20130217,1600,1860,450
20130217,1800,573,448
20130217,1945,243,480
20130217,2130,481,242
20130223,1800,480,462
20130223,1800,240,452
20130223,1800,449,573
20130223,2000,1853,479
20130223,2200,448,457
20130224,1200,244,461
20130224,1600,453,1860
20130224,1800,450,110832
20130224,1945,242,243
20130224,2130,241,481
20130302,1800,452,462
20130302,1800,573,240
20130302,1800,457,449
20130302,2000,479,448
20130302,2200,461,1853
20130303,1200,1860,244
20130303,1600,110832,453
20130303,1800,242,480
20130303,1945,481,450
20130303,2130,243,241
20130309,1800,480,452
20130309,1800,462,573
20130309,1800,240,457
20130309,2000,449,479
20130309,2200,448,461
20130310,1200,453,481
20130310,1600,244,110832
20130310,1800,1853,1860
20130310,1945,241,242
20130310,2130,450,243
20130316,1800,573,452
20130316,1800,457,462
20130316,1800,479,240
20130316,2000,461,449
20130316,2200,242,450
20130317,1200,110832,1853
20130317,1600,481,244
20130317,1800,243,453
20130317,1945,1860,448
20130317,2130,241,480
20130330,1800,480,573
20130330,1800,452,457
20130330,1800,462,479
20130330,2000,449,1860
20130330,2200,240,461
20130331,1200,448,110832
20130331,1600,1853,481
20130331,1800,450,241
20130331,1945,453,242
20130331,2130,244,243
20130406,1800,457,573
20130406,1800,479,452
20130406,1800,461,462
20130406,2000,243,1853
20130406,2200,481,448
20130407,1200,110832,449
20130407,1600,242,244
20130407,1800,450,480
20130407,1945,241,453
20130407,2130,1860,240
20130413,1800,480,457
20130413,1800,573,479
20130413,1800,452,461
20130413,2000,462,1860
20130413,2200,449,481
20130414,1200,240,110832
20130414,1600,244,241
20130414,1800,1853,242
20130414,1945,453,450
20130414,2130,448,243
20130420,1800,479,457
20130420,1800,241,1853
20130420,1800,1860,452
20130420,2000,110832,462
20130420,2200,481,240
20130421,1200,450,244
20130421,1600,242,448
20130421,1800,453,480
20130421,1945,243,449
20130421,2130,461,573
20130427,1800,480,479
20130427,1800,457,461
20130427,1800,573,1860
20130427,2000,452,110832
20130427,2200,240,243
20130428,1200,462,481
20130428,1600,449,242
20130428,1800,244,453
20130428,1945,1853,450
20130428,2130,448,241
20130504,1800,461,479
20130504,1800,1860,457
20130504,1800,110832,573
20130504,2000,481,452
20130504,2200,243,462
20130505,1200,242,240
20130505,1600,453,1853
20130505,1800,450,448
20130505,1945,241,449
20130505,2130,244,480
20130511,1800,480,461
20130511,1800,479,1860
20130511,1800,457,110832
20130511,2000,452,243
20130511,2200,573,481
20130512,1200,462,242
20130512,1600,1853,244
20130512,1800,449,450
20130512,1945,448,453
20130512,2130,240,241
20130518,1800,1860,461
20130518,1800,110832,479
